# MovieFlix – Watch History Dataset
# Format: UserID|MovieID|WatchDate|WatchDuration|RatingGiven|Completed
# Records: 200

U027|50|2025-07-24|165|5|true
U027|51|2025-08-30|175|4|true
U027|62|2025-09-28|155|3|false
U027|65|2026-02-04|150|4|true
U027|69|2026-04-12|138|5|true
U028|4|2025-05-16|169|5|true
U028|5|2025-06-22|148|5|true
U028|6|2025-07-28|136|5|true
U028|14|2025-09-02|140|3|false
U028|24|2026-01-06|144|4|true
U028|90|2026-02-20|130|5|true
U028|100|2026-04-16|155|4|true
U029|36|2025-05-20|88|5|true
U029|39|2025-06-26|96|4|true
U029|56|2025-08-01|165|5|true
U029|57|2025-09-06|161|4|true
U029|60|2026-01-10|178|4|true
U029|65|2026-03-18|150|3|false
U030|1|2025-05-24|181|5|true
U030|3|2025-06-30|152|5|true
U030|46|2025-08-05|185|5|true
U030|83|2025-09-10|101|4|true
U030|84|2026-01-14|130|5|true
U030|87|2026-03-22|155|5|true
U030|88|2026-05-10|175|4|true
